id,label,param_1,param_2,param_3,param_4,noise_sigma
1,linear,1.0958241942238534,-0.3667293614876863,0.0,0.0,0.1240650306973649
2,linear,1.29104645308332,-0.3395148070360134,0.0,0.0,0.062923371695018
3,linear,-0.1331159850918633,-2.737177405276628,0.0,0.0,0.0054961314008866
4,linear,0.6792559787300414,-0.3770884867660156,0.0,0.0,0.0751047324815237
5,linear,1.1476975100085536,0.9891051395521928,0.0,0.0,0.1119542165173876
6,linear,0.2143176026319833,0.355242964472481,0.0,0.0,0.0121244746361035
7,linear,0.2281286093651133,1.7033892546384806,0.0,0.0,0.0213014588571296
8,linear,0.7852815003109441,-0.3230623465558158,0.0,0.0,0.0506062058528849
9,linear,1.1150036158631784,1.301341134953974,0.0,0.0,0.0796365506498657
10,linear,0.8778518238037472,-0.4074417613493777,0.0,0.0,0.0786517091782726
11,linear,-1.3176281258524556,2.550720710260784,0.0,0.0,0.1118305021550885
12,linear,0.2869122095043015,-0.1590635936582769,0.0,0.0,0.0151479398540916
13,linear,-0.8750648646439667,0.9565358081514104,0.0,0.0,0.0873105772085394
14,linear,1.81159758027898,-1.2544929711592885,0.0,0.0,0.1415435362499323
15,linear,0.0754334415457962,-1.104425689015242,0.0,0.0,0.0078732591059594
16,linear,-1.2829267673690437,0.5962967491250613,0.0,0.0,0.1473396824818064
17,linear,-1.5126699814858755,0.0379795897237977,0.0,0.0,0.1458718009193419
18,linear,1.82249302818788,-1.28132263870767,0.0,0.0,0.2186590076197483
19,linear,-0.1304735937788339,1.7085806955131249,0.0,0.0,0.0035688417394117
20,linear,-0.184412471694801,-1.5129626222918513,0.0,0.0,0.0091654225617873
21,linear,-1.3378731090588871,-1.291679505972387,0.0,0.0,0.0551461171401533
22,linear,1.5000197689384345,2.106789760933236,0.0,0.0,0.0449575492723168
23,linear,1.374299806391011,2.415918863565702,0.0,0.0,0.1725716403467162
24,linear,0.5582530849484404,-1.4012200949949236,0.0,0.0,0.0222214407457961
25,linear,1.6653920781527116,-0.1145374301995287,0.0,0.0,0.0983671506412998
26,linear,1.4428762733035765,-2.207382976190736,0.0,0.0,0.1273702831741707
27,linear,1.7841082512693212,-1.4796998769648768,0.0,0.0,0.1530643911889947
28,linear,1.724944942760407,-2.281598468993263,0.0,0.0,0.0646693184517464
29,linear,-0.7422400791829484,-2.054330108250002,0.0,0.0,0.0301526488598109
30,linear,0.8710409440145739,2.707167960023047,0.0,0.0,0.0327782117685032
31,linear,-0.2307434917284272,-1.1884356513450505,0.0,0.0,0.0275341087922692
32,linear,-1.8840019871821223,-1.5550316517531175,0.0,0.0,0.0756192774111676
33,linear,1.3976353716922918,-2.6566083590804377,0.0,0.0,0.1500085820286978
34,linear,-1.2278340365243836,-1.3754474920931985,0.0,0.0,0.1203655565400531
35,linear,1.92010871821677,-0.248636145249061,0.0,0.0,0.2027751818489833
36,linear,0.0334109537877682,-0.5757936555554042,0.0,0.0,0.0024709450322253
37,linear,0.353224993636033,-1.0977545320965727,0.0,0.0,0.0103191221143905
38,linear,0.1965775343987177,-0.4114908289206593,0.0,0.0,0.0175864677722117
39,linear,-0.0234334139303062,-2.3048596539883897,0.0,0.0,0.001
40,linear,-0.5109537072338073,-2.078322605636191,0.0,0.0,0.0443980713541883
41,linear,-1.957089420097295,-1.7456540483865512,0.0,0.0,0.1549160072957522
42,linear,-1.67980286541526,1.5319810367684663,0.0,0.0,0.1173028427368754
43,linear,-1.663538661772472,-1.5379952756657187,0.0,0.0,0.1857895276685055
44,linear,1.0745103578375166,2.112093101287014,0.0,0.0,0.0828270207655678
45,linear,-1.233587961349201,-2.8510612092085648,0.0,0.0,0.1483374801104663
46,linear,1.0457302527360306,2.4199672317843186,0.0,0.0,0.1036662363504106
47,linear,-0.8470870180483789,1.4025209846274969,0.0,0.0,0.0865078104082347
48,linear,-1.6607229107526718,0.3327702608265834,0.0,0.0,0.1784317114373541
49,linear,0.9577258739060396,1.8052295526397923,0.0,0.0,0.0292411290617266
50,linear,-1.0493665465576107,2.116686777791476,0.0,0.0,0.0640893198378988
51,linear,1.2297264239051269,2.992460220400589,0.0,0.0,0.0686156970666296
52,linear,-1.1920838492448738,-2.893987314000527,0.0,0.0,0.0856188642788751
53,linear,1.636259257691794,0.1772523317104344,0.0,0.0,0.1658201894520122
54,linear,-0.2464549656632284,-0.142456148479646,0.0,0.0,0.0313283351219156
55,linear,1.8390980893168811,-2.3819838952190477,0.0,0.0,0.0546701606141696
56,linear,-1.171917833900752,-1.187570587298169,0.0,0.0,0.0770907526713688
57,linear,1.3648148248598255,-1.4379087395084995,0.0,0.0,0.0797951350194748
58,linear,-1.8105039199780728,-2.1707677701688155,0.0,0.0,0.2161139163405857
59,linear,1.413477837369467,0.714714518561844,0.0,0.0,0.0595804356573617
60,linear,1.196854088965964,0.6044035131758552,0.0,0.0,0.0570023730236948
61,linear,-0.731387315480085,2.340116742706173,0.0,0.0,0.0630285201909792
62,linear,-1.4923600979259477,2.383813198524562,0.0,0.0,0.1722791228373968
63,linear,-1.074877841252591,2.2433309874228087,0.0,0.0,0.0552885117909301
64,linear,-1.950120488235147,1.7761713378622703,0.0,0.0,0.1533968198686772
65,linear,-0.1207964473006883,1.400969427376979,0.0,0.0,0.0139199762340414
66,linear,-1.600550091357082,-1.7736157975114248,0.0,0.0,0.1624110058661492
67,linear,0.4070990234708338,2.6122882173989685,0.0,0.0,0.0298360479609192
68,linear,1.0140182520010317,2.2862163115072205,0.0,0.0,0.0546899299424809
69,linear,-1.5572317038815355,-1.4853822567024764,0.0,0.0,0.0866371210219102
70,linear,-1.6120884451780828,2.074781746812855,0.0,0.0,0.1426987782135158
71,linear,1.0400598869761395,1.6341179260474084,0.0,0.0,0.0485212237989877
72,linear,0.8409808053439463,2.1080078964132234,0.0,0.0,0.0965848490337575
73,linear,0.1189826647299918,0.2194080814625358,0.0,0.0,0.0083182431346201
74,linear,-1.5241867570391547,2.5010904457751746,0.0,0.0,0.0889639243202064
75,linear,1.6826634330942714,-0.9516775957096342,0.0,0.0,0.0515712165618278
76,linear,1.973473993644712,-1.3146216842150693,0.0,0.0,0.0628938641590784
77,linear,0.3987814268639615,-0.1632961634460108,0.0,0.0,0.048873419089089
78,linear,1.7901423986639693,-0.8019870686607824,0.0,0.0,0.1807188282824479
79,linear,-1.496771926750859,-2.44965792564596,0.0,0.0,0.1402462879764535
80,linear,-0.8993898975931467,-2.168073022599483,0.0,0.0,0.0490042533668732
81,linear,1.904513562766831,-0.6019431890181788,0.0,0.0,0.1819402339104014
82,linear,0.5288100004594494,-0.9953323982474664,0.0,0.0,0.0266895491999227
83,linear,0.5792767774371619,-1.2640791833859928,0.0,0.0,0.0300414195428819
84,linear,-1.446683719535803,1.6460154070983073,0.0,0.0,0.0540303706139662
85,linear,1.1629518955839755,-1.3762070863748372,0.0,0.0,0.1347827447299208
86,linear,1.9976876368967516,0.0987564158138454,0.0,0.0,0.0704257796266655
87,linear,1.2849231463913815,-0.5000040117607192,0.0,0.0,0.0750002211292322
88,linear,-1.7887715943995586,-2.996887535005767,0.0,0.0,0.1253758452555064
89,linear,-1.628975690302021,-0.6331108923674735,0.0,0.0,0.1643300524064489
90,linear,-1.6560705995562195,-1.942251809867219,0.0,0.0,0.0719376365808102
91,linear,-1.2307972838594678,-1.6752124727463955,0.0,0.0,0.1138897350910539
92,linear,-0.9592613786280344,-0.4880634761111899,0.0,0.0,0.0987400389094459
93,linear,-1.1508914446370282,2.3670689863126864,0.0,0.0,0.1053459213060852
94,linear,-1.1436308426531192,-2.405058176407114,0.0,0.0,0.0533730964640316
95,linear,-1.1784388093103733,2.3301927183770434,0.0,0.0,0.141971369221656
96,linear,-1.823299588223355,-0.5924102148833201,0.0,0.0,0.1068701576018051
97,linear,-0.7156574943525804,-1.8407500653292168,0.0,0.0,0.0258204017502275
98,linear,-0.1958139992589798,0.4076053825709556,0.0,0.0,0.0142346598101019
99,linear,0.2506896422994291,1.5332372548405635,0.0,0.0,0.0129909358045702
100,linear,-1.8458320027062567,1.082512834019532,0.0,0.0,0.1531933033522791
101,linear,0.2603116425228222,-1.3779492708040348,0.0,0.0,0.0109152734125464
102,linear,1.2438516089596874,-0.1094186918269701,0.0,0.0,0.1034515202339154
103,linear,1.4973370253392528,-2.856177866832267,0.0,0.0,0.1178155628346059
104,linear,-1.4415053832835172,-1.869154181926192,0.0,0.0,0.0874662066069746
105,linear,-0.2756945694482469,-2.7846066839558468,0.0,0.0,0.0220907964707958
106,linear,1.3388306573077435,-2.065453974152524,0.0,0.0,0.107318204681479
107,linear,-1.622855786047972,2.2038182430070883,0.0,0.0,0.1587483085702815
