label,y_00,y_01,y_02,y_03,y_04,y_05,y_06,y_07,y_08,y_09,slope,amplitude,first_diff_mean,first_diff_std,second_diff_mean,second_diff_std
cubic,-10.74233982023501,-6.076467174088458,-3.2680353728529865,-2.028866657421605,-1.610657843310306,-1.3182964919048012,-1.473916332182149,-1.4115423882298814,-0.8018930143370244,0.9971062127007256,2.0975005999761964,11.739446032935735,1.304382892548415,1.4823785563049594,-0.3583591773886,0.9706561811195061
cosine,0.6030571134898774,0.8415263194378613,1.6320766139367555,2.7236110645235114,3.598198690986884,4.087362469875599,3.5997491773585915,2.5684625807836228,1.6403172473083572,0.7756290181044332,0.2037844307489014,3.484305356385721,0.019174656068283995,0.8017078132369923,-0.13789467939398847,0.461413852941713
exponential,0.0588544870847928,-0.0404291112883777,0.0304953446805784,0.4224782931352571,0.6744596764863544,1.284167311918284,3.061570858125063,7.875814162524762,17.78068738325111,40.81126157927032,7.353723527878207,40.8516906905587,4.528045232465058,7.233602120914486,2.891232224299048,4.215896644594171
quadratic,5.04910674032831,4.671958264375147,4.493415619901747,3.8619291995389418,3.198533891222807,2.404261200716462,1.3752550422006935,0.2957033728278156,-1.1186522355802369,-2.4630439102806463,-1.873452078450805,7.512150650608956,-0.8346834056232173,0.3952024438233179,-0.12090539984340579,0.20013987618307244
quadratic,9.69269557226899,7.019876761178348,4.122496687546322,2.040922642593366,1.308334323488853,-0.0095662759630413,0.3170947512261651,1.144308980768257,1.9893883571962456,3.682548039949094,-1.5093418558117853,9.702261848232032,-0.6677941702577663,1.581267705758695,0.5457473117304363,0.722001989843093
cosine,4.306930923284357,0.9275439783353532,-0.7848433887602925,1.1644842907858095,4.291239487472637,4.571957205088225,1.5622441448917974,-0.7368813204991802,0.5551270994378004,3.89558622471482,-0.06266199297503985,5.356800593848518,-0.04570496650772629,2.4756886484685885,0.839980758778253,2.461021903418513
quadratic,-2.2531211289942683,-2.2456188365641787,-2.4699971324189,-2.021209798572536,-1.3108604785242404,-0.4244885353554595,0.561701517249531,1.940214995054578,3.48087711763339,5.255974981476312,1.8866386800220993,7.725972113895212,0.8343440122745088,0.6389554328349949,0.22094944642660402,0.2400269699472976
quadratic,2.056674523537959,0.9016167238794246,-0.0382107640662775,-0.6023805481197294,-0.7405279639424582,-0.6944422604869209,-0.2237266731786734,0.4580615391352256,1.62358057894395,2.9837540636636994,0.23264825033003966,3.724282027606158,0.103008837791749,0.8403932848347676,0.3144039105472855,0.11663468822894228
cosine,-1.7933618533267337,-1.223113127483382,-1.2548084545587963,-1.8325761043374145,-2.3823324851621246,-2.2771893386066555,-1.6393109571954545,-1.1572095576000032,-1.352461613968188,-2.0136833162086245,-0.023391811343936558,1.2251229275621214,-0.02448016254243231,0.4810342339989532,-0.15393380351047353,0.4853675712041511
exponential,8.244292193166268,4.902304414175496,2.5450805056560544,1.392216352256396,0.0229102096247734,-0.2227969743226209,-0.4426662409245328,-0.9870696576346264,-0.6399249020970181,-1.4708731808338014,-2.040589082179798,9.715165374000069,-1.079462819333341,1.0882399781988508,0.31387993753174864,0.8085597138524007
reciprocal,-0.875880516358359,-0.8747471304125839,-0.8745055390060917,-0.8713437431988167,-0.8720566858592377,-0.8694741523752301,-0.8717003281233315,-0.8688738406198093,-0.8689782841489014,-0.8671344301375025,0.002028654142845828,0.008746086220856486,0.0009717873578729429,0.0017118511547629938,8.880850820298936e-05,0.003467219117727108
cubic,12.992505746716612,8.080879267611712,4.399608491822421,3.1125002508674737,2.3597308459081527,2.8840236106742863,2.854809604863368,0.2070398492757916,-2.656651523472399,-5.861191176876602,-3.628058321398733,18.853696923593212,-2.094855213732579,1.7048817816916473,0.21338585321258713,1.4196800102936509
quadratic,3.204378072002167,1.3964231448924953,-0.1246757350384711,-1.2413161392186909,-2.338846793195367,-2.939968644765685,-3.426933792889689,-3.4970333179241817,-3.282336617335523,-2.845286066989794,-1.516609886093668,6.701411389926349,-0.6721849043324402,0.7308985014864233,0.2806256846819251,0.15000523246285857
cosine,-1.9831693885902195,-2.889953852769408,-2.1544057637046468,-0.2747361741714026,1.841888096638956,2.339270689675401,1.1987495170078064,-1.0124263158298914,-2.832173188714762,-2.838398941424954,0.04547912152933315,5.229224542444809,-0.09502550587052612,1.4546580544644563,0.11256983893362454,1.3159640590294788
sine,-2.812479766129174,-3.882137701225554,-3.9114879526883217,-3.169206654173101,-1.7939780135990542,-0.464132667925872,0.4280029271771961,0.6187837668792979,-0.2289570758666351,-1.5467226018799356,0.9782306119543333,4.53027171956762,0.140639684916582,0.9698345561577848,-0.031013448864615156,0.7120025843705834
logarithmic,-2.70714649655913,-2.714699177590578,-2.723372416547833,-2.7287777292967994,-2.737054384433603,-2.74476904516957,-2.749074692165712,-2.753667549334992,-2.7606017898591,-2.7686562184591046,-0.014931640858062598,0.0615097218999745,-0.006834413544441611,0.0015532063429760986,-6.271844606953181e-05,0.0022052417513837358
exponential,17.824213788715408,7.133788054889163,3.7000256650978254,2.875750111551679,1.36772284270941,1.3544069293214178,1.4437132167111126,1.0478816301761715,1.8068487085073537,1.076201559259332,-2.8035113490312993,16.776332158539237,-1.860890247717342,3.3189356088194955,1.2449723230722776,2.5876875481777852
exponential,-119.17819194905849,-42.04201539649381,-15.205864104300234,-4.559114984558725,-2.558001179503093,-2.218597183454487,0.1856129599830827,-2.349132398978538,-1.7486157629218848,-1.995867191637737,19.302981362837354,119.36380490904158,13.020258306380084,24.208640432571904,-9.672928497660067,16.433116305050508
linear,0.0524738970127786,0.2955974643208626,0.4821585685212873,0.7648928162972585,1.0437441440461426,1.3109431439609174,1.6097392501999193,1.906138328101492,2.199947041591563,2.4299210111281364,0.6088514750107761,2.3774471141153577,0.264160790457262,0.035466638981579895,-0.0016436997214388169,0.04698873933722331
linear,1.9222860368149544,1.7229073996793347,1.4783048367160123,1.2479189523572138,1.009891015508572,0.7963337749935517,0.5665942417329332,0.3322142452744199,0.116891959059015,-0.0985754637161367,-0.5102433534370623,2.0208615005310913,-0.2245401667256768,0.013595174818956106,-0.002011098204941504,0.020972586621381725
linear,-4.359930624621736,-3.491975653021161,-3.020740345191564,-2.0597172131255053,-1.7399083036305978,-1.0073061402552623,-0.1827752067737756,0.6144833130037822,1.1426020328601698,1.836286590006416,1.5374665255395004,6.1962172146281524,0.688468579403128,0.196535794900756,-0.02178380180679107,0.36811670085753195
